ins_name,num_vehi,diff_b,diff_t,diff_d,diff_c,total_b,total_t,total_d,total_c,dis_b,dis_t,dis_d,dis_c,relative_gap_b,relative_gap_t,relative_gap_d,relative_gap_c,solve_time_b,solve_time_t,solve_time_d,solve_time_c
RC202-25,3,0.3999999849943167,280,254,254,13355.099999981005,7859.799999999998,12133.40000000008,12245.8,1336.4,742.8999999999999,338.0000000000001,338.00000000000006,1.0,0.0,0.0,0.0,3601.1,27.08,23.67,1.06
RC203-25,3,0.3999999910015398,280,366.00000000001455,12.000000000000227,12097.199999991004,5957.4000000000015,12923.300000002988,14303.7,953.2,702.3,326.90000000000003,326.9,1.0,0.045,0.0,0.0,3601.46,3605.48,1652.24,35.42
RC204-25,3,0.39999998399796527,834,481.9999999995314,490.0000000000141,11448.299999972965,4195.999999987773,10765.499999999769,10537.100000000008,929.9999999999999,501.5,299.70000000000005,299.70000000000005,1.0,0.128,0.0,0.0,3601.44,3604.43,152.26,3.0
RC205-25,3,13.19999999999709,294,334.80000000000314,334.8000000000029,12044.499999999975,8768.899999999998,10381.8,10832.5,1103.8999999999999,747.9999999999999,338.0,338.0,0.0,0.0,0.0,0.0,130.08,42.57,27.08,0.53
RC206-25,3,0,102,208,208,10930.100000000033,8355,11025.399999999998,10838.7,1318.4,681.8,324.0,324.00000000000006,0.0,0.0,0.0,0.0,438.66,46.67,9.34,0.6
RC207-25,3,0.19999999399715307,250,276,276,10395.799999995006,7077.699999999997,10726.900000000016,10458.600000000006,1095.8999999999999,764.0,298.3,298.3,1.0,0.0,0.0,0.0,3600.91,168.74,20.5,2.28
RC208-25,2,0,12.700000000000102,16.90000000000873,81,9832.499999999975,6295.5,12413.099999999995,12508.100000000006,1074.8,546.0,269.1,318.2,0.0,0.091,0.116,0.223,77.07,3607.99,3604.49,3621.57
C101-50,5,850.6000000000367,1310,2058,Inf,27272.30000000004,27032.400000000023,27610.400000000052,Inf,517.0000000000001,533.4000000000002,362.4000000000001,Inf,0.0,0.0,0.0,1.0,225.63,173.6,10.33,3600.0
C102-50,5,Inf,Inf,1614,Inf,Inf,Inf,30185.39999999985,Inf,Inf,Inf,361.4,Inf,1.0,1.0,0.0,1.0,3600.0,3600.0,765.8,3600.0
C103-50,5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,3600.0,3600.0
C104-50,5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,3600.0,3600.0
C105-50,5,Inf,776.0000000239995,1808.9999999999854,Inf,Inf,27030.499999946038,27058.400000000016,Inf,Inf,550.3000000000002,362.4000000000001,Inf,1.0,0.088,0.004,1.0,3600.0,3601.11,5.68,3600.0
